Date,Rh1,Rh2,Tmax,Tmin,Rainfall
5/15/1999,77.3,78,26.9,15,T
5/16/1999,74.3,62.6,28.1,12.6,2.8
5/17/1999,81,54.9,30.1,16.5,0
5/18/1999,67.5,62.8,30,15.8,4.6
5/19/1999,73.9,57.7,29.4,15.6,9.8
5/20/1999,80.3,80,27,16.3,12.4
5/21/1999,87.9,75.8,28.7,17.8,T
5/22/1999,86.4,68.8,27.8,18.8,0.2
5/23/1999,83.3,71,29.5,19.3,4.3
5/24/1999,94.8,71.1,29.5,20.3,13.8
5/25/1999,73.8,71.6,30.5,18.4,9.5
5/26/1999,74,88.2,28.6,20.8,T
5/27/1999,73.8,72.3,28.8,20.1,16.6
5/28/1999,83.4,75.5,27.6,19.7,0.2
5/29/1999,88.2,69.2,28.9,19,2.6
5/30/1999,76.1,53.5,29.6,18.5,0
5/31/1999,71.3,41.7,31.1,16.4,0
6/1/1999,56.5,39.9,31.4,17.7,0
6/2/1999,63.8,49.7,31.2,15.2,0
6/3/1999,58.9,86.4,29,14.7,1.5
6/4/1999,74.3,49.1,29.5,13.7,5
6/5/1999,68,52.1,30.6,14.7,0
6/6/1999,61.3,66.9,31.6,15.3,0
6/7/1999,66.5,75.3,31.6,17.6,0.4
6/8/1999,71.6,70,33,18.1,T
6/9/1999,78.3,57.9,31.9,20.4,0
6/10/1999,89.7,68.8,29.8,19.5,5.9
6/11/1999,82.3,86,28.7,20.4,0
6/12/1999,94.6,90.8,21.5,18.5,2.4
6/13/1999,98.1,80.9,24.8,18.5,44.4
6/14/1999,76.3,67,30.1,17.7,18
6/15/1999,77.1,83.4,30.5,20.9,0
6/16/1999,88.3,93.4,30,20.1,11.4
6/17/1999,83.7,75.1,29.7,19.8,30.7
6/18/1999,83.8,85.6,28.4,20.1,0
6/19/1999,87.1,75.5,29.9,19.8,10
6/20/1999,73.6,73.5,29.6,20,T
6/21/1999,80.9,88.5,29.1,20.8,2.6
6/22/1999,89.9,78.7,28.1,20.4,10.3
6/23/1999,91.6,90.9,27.4,20.3,8.8
6/24/1999,90.9,88.4,28.6,20.2,8.8
6/25/1999,88.3,73.6,28.5,19.7,25.9
6/26/1999,89.8,77.4,27,21,T
6/27/1999,96.6,93.2,26.6,21,1.2
6/28/1999,96.2,96.3,20.4,18.7,99.4
6/29/1999,81.9,70.4,30,17.9,22.6
6/30/1999,91.5,84.4,28.5,20,6.3
7/1/1999,88.6,96.6,27.3,20.7,0.2
7/2/1999,96.4,98.2,21.8,20.3,28.4
7/3/1999,100,81.6,24.8,19.2,84.6
7/4/1999,100,77.5,26.8,19.1,41.6
7/5/1999,88.3,77.3,29.5,19.6,5
7/6/1999,76.5,83.6,30,19.4,0
7/7/1999,83.6,65.8,30.4,20.1,4.4
7/8/1999,84.6,82.2,29.3,21,0.2
7/9/1999,91.6,82.3,28.8,20.9,6.9
7/10/1999,89.4,85.2,27.9,20.4,7.8
7/11/1999,93.1,89.9,24.5,20.2,4.7
7/12/1999,88,79.4,27.6,19.6,6
7/13/1999,85.3,76.3,30.2,20,0.2
7/14/1999,86.4,85.7,28.5,19.9,0.3
7/15/1999,85.9,83.9,29.5,20.8,1.8
7/16/1999,88.3,85.6,27,19.9,1
7/17/1999,94.9,94.8,28.2,19.8,3.6
7/18/1999,93.1,91.8,28,19.8,51.8
7/19/1999,78.8,84.1,28.4,20.1,5.2
7/20/1999,82.4,89.4,30,19,24.4
7/21/1999,83.9,80,29,20.1,47.3
7/22/1999,80.5,88.1,28.9,19.9,T
7/23/1999,90,88.6,28.7,20.6,7.9
7/24/1999,86.9,90,26.9,20.3,29.3
